TEXT	TEXT	TEXT	TEXT	TEXT
code	faculty	faculty2	slot	room
CS2011	Sandeep Chandran		A	A01-002
CS2013	Albert Sunny		E2, PA2	N 204, N CS Comp Lab (70)
CS2020A	Deepak Rajendraprasad		B+Q	A01-002
CS2111	Sandeep Chandran		PA4	N CS Comp Lab (70)
CS3010	Jasine Babu		B	A01-102
CS3050	Krishnamoorthy Dinesh		A+E4	A01-102
CS3110	Jasine Babu	Krishnamoorthy Dinesh	PA1	N CS Comp Lab (70)
CS3130	Piyush P Kurur	Unnikrishnan Cheramangalath	PA5	A01, Comp Lab 1
CS4010	Anish Hirwe		B	A01-212
CS4150	Anish Hirwe		PA1	A01, Comp Lab 1
CS5005	Unnikrishnan Cheramangalath		K	A01-102
CS5009	Krithika Ramaswamy		I, E5	A01-018
CS5013	Srimanta Bhattacharya		K	A01-212
CS5017	Krishnamoorthy Dinesh		A+E4	A01-102
CS5019	Vivek Chaturvedi		K	A01-118
CS5107	Satyajit Das		PM1	A01 Comp Lab 2
CS5119	Vivek Chaturvedi		PM3	N CC, Comp Lab (48)
CS5613	Srimanta Bhattacharya		F	A01-102
CS5617	Ramaswamy Krishnan Chittur		PA5	Nila CS Lab (70)
CS5627	Piyush P Kurur		L	A01-102
DS5602	Satyajit Das		F	A01-001
CS3030	Piyush P Kurur		D+E5	A01-102
