registered	year	prog	range	count
27	2020	UG	6 LPA - 10 LPA	8
27	2020	UG	10 LPA - 20 LPA	7
27	2020	UG	20 LPA - 30 LPA	11
27	2020	UG	30 LPA and above	1
42	2021	UG	6 LPA - 10 LPA	7
42	2021	UG	10 LPA - 20 LPA	23
42	2021	UG	20 LPA - 30 LPA	8
42	2021	UG	30 LPA and above	4
50	2022	UG	6 LPA - 10 LPA	6
50	2022	UG	10 LPA - 20 LPA	19
50	2022	UG	20 LPA - 30 LPA	12
50	2022	UG	30 LPA and above	13
7	2022	MCaM	7.5 LPA - 10 LPA	3
7	2022	MCaM	10 LPA - 20 LPA	4
7	2022	MCaM	20 LPA - 30 LPA	0
7	2022	MCaM	30 LPA and above	0
5	2021	MCaM	7.5 LPA - 10 LPA	3
5	2021	MCaM	10 LPA - 20 LPA	2
5	2021	MCaM	20 LPA - 30 LPA	0
5	2021	MCaM	30 LPA and above	0
13	2021	MSoCD	6 LPA - 10 LPA	2
13	2021	MSoCD	10 LPA - 20 LPA	2
13	2021	MSoCD	20 LPA - 30 LPA	7
13	2021	MSoCD	30 LPA and above	0
8	2022	MSoCD	7.5 LPA - 10 LPA	1
8	2022	MSoCD	10 LPA - 20 LPA	3
8	2022	MSoCD	20 LPA - 30 LPA	2
8	2022	MSoCD	30 LPA and above	1
43	2023	UG	6 LPA - 10 LPA	2
43	2023	UG	10 LPA - 20 LPA	19
43	2023	UG	20 LPA - 30 LPA	7
43	2023	UG	30 LPA and above	10
7	2023	MCaM	7.5 LPA - 10 LPA	3
7	2023	MCaM	10 LPA - 20 LPA	4
7	2023	MCaM	20 LPA - 30 LPA	0
7	2023	MCaM	30 LPA and above	0
15	2022	MSoCD	7.5 LPA - 10 LPA	2
15	2022	MSoCD	10 LPA - 20 LPA	2
15	2022	MSoCD	20 LPA - 30 LPA	1
15	2022	MSoCD	30 LPA and above	0
